activity,location,postal code,contact,opening hours,Mon,Tue,Wed,Thu,Fri,Sat,Sun,longitude,latitude,type
See the S.E.A. Aquarium,"8 Sentosa Gateway, Sentosa Island, Singapore 098269",098269,not available,"10am-5pm, Daily",Closed,Closed,Closed,Closed,Closed,Closed,Closed,103.820331,1.256752,"indoor, animals"
Visit the Museum of Ice Cream,"100 Loewen Road, Singapore 248837",248837,not available,Mon & Wed 10am-6pm | Thu-Sun 10am-9pm (Closed on Tuesdays),10am-6pm,Closed,10am-6pm,10am-9pm,Closed,Closed,10am-9pm,103.812423,1.30273,"indoor, enrichment"
Swim at Wild Wild Wet,"1 Pasir Ris Close, Downtown East, Singapore 519599",519599,6581 9128,Mon & Wed-Fri 12pm-6pm | Sat-Sun 11am-6pm (Closed on Tuesdays),12pm-6pm,Closed,12pm-6pm,Closed,12pm-6pm,11am-6pm,11am-6pm,103.9552726,1.3789473,"outdoor, exercise, wet"
Roller skate at Hi-Roller,"1 Pasir Ris Close, E!Hub, Market Square @ Downtown East, #05-103, Singapore 519599",519599,9694 4094,Mon-Thu 11am-6.30pm | Fri 12pm-8pm | Sat-Sun 11am-10pm,12pm-8pm,Closed,Closed,12pm-8pm,12pm-8pm,11am-10pm,11am-10pm,103.9552726,1.3789473,"indoor, exercise"
Play arcade games at Timezone Westgate,"3 Gateway Drive, Westgate #B1-45, Singapore 608532",608532,6265 1132,Mon-Thu 11am-10pm | Fri 11am-11pm | Sat 10am-11pm | Sun 10am-10pm,11am-10pm,Closed,Closed,11am-10pm,11am-11pm,10am-11pm,10am-10pm,103.7427983,1.3345328,"indoor, games"
Learn new skills at NLB libraries,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,"indoor, enrichment"
Discover new playgrounds in Singapore,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,outdoor
Chill out at Snow City,"21 Jurong Town Hall Road, Singapore 609433",609433,6560 2306,Tue-Fri 10am-5pm | Sat-Sun & PH 10am-6pm,Closed,10am-5pm,Closed,Closed,10am-5pm,10am-6pm,10am-6pm,103.735459,1.3354029,indoor 
Tour the Jacob Ballas Children’s Garden,"481 Bukit Timah Road, Singapore 259769",259769,1800 471 7300,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,outdoor
Try fishing at Qian Hu Fish Farm,"No. 71 Jalan Lekar, Singapore 698950",698950,6766 1554,Mon-Fri 9am-6pm | Sat-Sun 9am-7pm,9am-6pm,Closed,Closed,Closed,9am-6pm,9am-7pm,9am-7pm,103.721658,1.385036,"outdoor, animals"
Play with felines at The Cat Cafe,"241B Victoria Street, Singapore 188030",188030,6338 6815,Mon 3pm-10pm | Tue-Fri 10am-9pm | Sat-Sun 10am-10pm,3pm-10pm,10am-9pm,Closed,Closed,10am-9pm,10am-10pm,10am-10pm,103.855282,1.3004579,"indoor, animals"
Support the Kitten Sanctuary,"781A North Bridge Road, #02-01, Singapore 198749",198749,6336 2133,"Sat-Sun 11.30am-12.30pm, 5pm-6pm (Closed from Mondays to Fridays)",Closed,Closed,Closed,Closed,Closed,5pm-6pm,5pm-6pm,103.859822,1.303608,"indoor, animals"
Relax in Singapore’s newest hotels,not available,not available,not available,not available,Closed,Closed,Closed,Closed,Closed,Closed,Closed,not available,not available,indoor 
Bungy jump at Skypark Sentosa by AJ Hackett,"30 Siloso Beach Walk, Singapore 099011",099011,6911 3070 ,Mon-Fri 12.30pm-7pm | Sat–Sun 11.30pm-7pm ,30pm-7pm,Closed,Closed,Closed,30pm-7pm,30pm-7pm,30pm-7pm,103.8131329,1.255319,"outdoor, thrill"
